"x","y"
13812.1873367989,28664.0994629139
13829.6444557302,28671.4075036168
13819.6669732482,28670.7368598877
21445.6444240112,20414.8601636232
21438.864951368,20407.5090582179
28316.6283754503,9639.21856087625
28324.6081565251,9620.31850886415
28308.9875233221,9630.92861937004
28328.4453724865,9630.35756778142
28318.6490773126,9628.34903655158
28749.7934438089,20365.0229572726
28741.7877940429,20371.0154168531
28200.3501635734,20689.1915223318
12594.0074359179,38471.4829372907
19846.6695508446,28324.0568388545
18105.4117697091,12856.7729668352
18109.2168962532,12847.5252097026
15154.0202826569,39096.8170998278
15161.032406537,39078.1879554983
15158.4366955459,39087.8451955
29693.8726389422,26366.8728237997
10923.6840632666,31845.7544979407
10905.1206407085,31843.4210069143
10913.9615976054,31848.0940659924
34400.3377415353,19389.7492729055
13682.9560190055,36567.6265928697
39734.8854050966,26619.8878916257
39740.3664924641,26628.2519624809
25511.3709979659,29233.1748847555
33728.496551162,31397.7651051977
33750.7373220961,31403.1916693834
33735.3926229506,31390.5194085747
33740.4729565138,31407.4931949107
33742.4319413049,31397.6220839233
41069.7751910961,35780.3406912995
35865.7278219151,20014.7060151141
27921.6997414891,35855.8394555868
21292.5009971944,26413.3861035776
21497.130238116,29261.183763556
21487.6339697333,29258.035506467
6764.42370583991,40399.3637652483
6523.84582928225,29342.8935852326
9348.47829652023,13531.009886795
18669.9620162904,15053.1864516738
18670.7618550221,15063.1544132509
8027.17746877287,36913.0429467229
8019.61086218859,36919.5810247891
6568.77857022146,38188.9197678945
27901.7053774494,33328.0681952586
27911.5012144215,33326.0578276262
37520.6128064991,23474.1524361847
37540.0009026881,23483.9750721555
37528.5662891209,23467.789056247
37528.157972435,23485.3122905811
37533.1831062975,23476.659512783
12224.6544566006,37848.2395529148
12234.6391891245,37839.7082631169
12224.7644696123,37838.1303168073
30930.922151709,20989.4300325736
30942.3464526013,20982.0551837478
30940.4821835278,20992.363595531
36860.6432682408,34222.5437204014
39020.8170401245,27889.1403117764
23859.6859731556,27672.62407666
23850.0388579254,27659.2442002263
23859.4493561883,27662.6268799988
16732.7996184377,27387.5937915404
26778.661469345,27647.4530325252
27698.6605372263,27320.9621890356
27680.9622652958,27327.9046336269
27690.9454082171,27327.3243258128
30024.2300545794,20047.7807887038
11392.3472809032,18897.5634347279
11390.2782452458,18884.4548480762
11383.8775475145,18892.1380159484
19377.9761000679,9998.96865491674
19368.0421805732,10000.1163671946
35591.9013365252,35186.7826951597
35588.4707950153,35171.3963705786
35584.1794447071,35180.4287740535
37586.0407341349,33596.4326535079
37594.2311237968,33577.0868982659
37577.4319539777,33584.9786668495
37594.7281028532,33591.2253564715
37587.4154474917,33584.4044275345
13622.6296540243,25827.6800978623
20997.0319317206,6512.43099642214
28409.9498834103,25432.8647035868
28404.7422406977,25420.888050615
28414.2939539552,25423.8575369346
27088.9839351218,17533.0331391618
27084.7865374195,17542.1095840897
36317.6010557199,34554.1654368523
36318.6412549501,34533.9999508325
36305.7063006409,34547.9703975713
36324.2889646319,34544.6847579358
36314.4209010742,34543.0657325177
31685.8118675068,22244.5418016134
31676.5743930954,22255.0450287884
31675.8259787045,22245.0728617121
25791.4826591186,14698.2243011441
